symbol,company_name,isin_number,series,market_type
AKZOINDIA,Akzo Nobel India Limited,INE133A01011,EQ,NSE
ALANKIT,Alankit Limited,INE914E01040,EQ,NSE
ALBERTDAVD,Albert David Limited,INE155C01010,EQ,NSE
ALEMBICLTD,Alembic Limited,INE426A01027,EQ,NSE
ALICON,Alicon Castalloy Limited,INE062D01024,EQ,NSE
ALIVUS,Alivus Life Sciences Limited,INE03Q201024,EQ,NSE
ALKALI,Alkali Metals Limited,INE773I01017,EQ,NSE
ALKEM,Alkem Laboratories Limited,INE540L01014,EQ,NSE
ALKYLAMINE,Alkyl Amines Chemicals Limited,INE150B01039,EQ,NSE
ALLCARGO,Allcargo Logistics Limited,INE418H01029,EQ,NSE
ALLDIGI,Alldigi Tech Limited,INE835G01018,EQ,NSE
ALMONDZ,Almondz Global Securities Limited,INE326B01035,EQ,NSE
ALOKINDS,Alok Industries Limited,INE270A01029,EQ,NSE
ALPA,Alpa Laboratories Limited,INE385I01010,EQ,NSE
ALPHAGEO,Alphageo (India) Limited,INE137C01018,EQ,NSE
AMBER,Amber Enterprises India Limited,INE371P01015,EQ,NSE
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,INE792B01012,EQ,NSE
AMBIKCO,Ambika Cotton Mills Limited,INE540G01014,EQ,NSE
AMBUJACEM,Ambuja Cements Limited,INE079A01024,EQ,NSE
AMDIND,AMD Industries Limited,INE005I01014,EQ,NSE
AMJLAND,Amj Land Holdings Limited,INE606A01024,EQ,NSE
AMNPLST,Amines & Plasticizers Limited,INE275D01022,EQ,NSE
AMRUTANJAN,Amrutanjan Health Care Limited,INE098F01031,EQ,NSE
ANANDRATHI,Anand Rathi Wealth Limited,INE463V01026,EQ,NSE
ANANTRAJ,Anant Raj Limited,INE242C01024,EQ,NSE
ANDHRAPAP,ANDHRA PAPER LIMITED,INE435A01051,EQ,NSE
ANDHRSUGAR,The Andhra Sugars Limited,INE715B01021,EQ,NSE
ANGELONE,Angel One Limited,INE732I01013,EQ,NSE
ANIKINDS,Anik Industries Limited,INE087B01017,EQ,NSE
ANKITMETAL,Ankit Metal & Power Limited,INE106I01010,BZ,NSE
ANMOL,Anmol India Limited,INE02AR01019,EQ,NSE
ANSALAPI,Ansal Properties & Infrastructure Limited,INE436A01026,BZ,NSE
ANTGRAPHIC,Antarctica Limited,INE414B01021,EQ,NSE
ANUHPHR,Anuh Pharma Limited,INE489G01022,EQ,NSE
ANUP,The Anup Engineering Limited,INE294Z01018,EQ,NSE
ANURAS,Anupam Rasayan India Limited,INE930P01018,EQ,NSE
APARINDS,Apar Industries Limited,INE372A01015,EQ,NSE
APCL,Anjani Portland Cement Limited,INE071F01012,BE,NSE
APCOTEXIND,Apcotex Industries Limited,INE116A01032,EQ,NSE
APEX,Apex Frozen Foods Limited,INE346W01013,EQ,NSE
APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,EQ,NSE
APLLTD,Alembic Pharmaceuticals Limited,INE901L01018,EQ,NSE
APOLLO,Apollo Micro Systems Limited,INE713T01028,EQ,NSE
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,EQ,NSE
APOLLOPIPE,Apollo Pipes Limited,INE126J01016,EQ,NSE
APOLLOTYRE,Apollo Tyres Limited,INE438A01022,EQ,NSE
APOLSINHOT,Apollo Sindoori Hotels Limited,INE451F01024,EQ,NSE
APTECHT,Aptech Limited,INE266F01018,BE,NSE
APTUS,Aptus Value Housing Finance India Limited,INE852O01025,EQ,NSE
ARCHIDPLY,Archidply Industries Limited,INE877I01016,EQ,NSE
ARCHIES,Archies Limited,INE731A01020,BE,NSE
ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032,EQ,NSE
ARENTERP,Rajdarshan Industries Limited,INE610C01014,BE,NSE
ARIES,Aries Agro Limited,INE298I01015,EQ,NSE
ARIHANTCAP,Arihant Capital Markets Limited,INE420B01036,EQ,NSE
ARIHANTSUP,Arihant Superstructures Limited,INE643K01018,EQ,NSE
ARISINFRA,Arisinfra Solutions Limited,INE0H9P01028,EQ,NSE
ARKADE,Arkade Developers Limited,INE0QRL01017,EQ,NSE
ARMANFIN,Arman Financial Services Limited,INE109C01017,EQ,NSE
AROGRANITE,Aro Granite Industries Limited,INE210C01013,EQ,NSE
ARROWGREEN,Arrow Greentech Limited,INE570D01018,BE,NSE
ARSHIYA,Arshiya Limited,INE968D01022,BZ,NSE
ARSSINFRA,ARSS Infrastructure Projects Limited,INE267I01010,BE,NSE
ARTEMISMED,Artemis Medicare Services Limited,INE025R01021,EQ,NSE
ARTNIRMAN,Art Nirman Limited,INE738V01013,BE,NSE
ARVEE,Arvee Laboratories (India) Limited,INE006Z01016,EQ,NSE
ARVIND,Arvind Limited,INE034A01011,EQ,NSE
ARVINDFASN,Arvind Fashions Limited,INE955V01021,EQ,NSE
ARVSMART,Arvind SmartSpaces Limited,INE034S01021,EQ,NSE
ASAHIINDIA,Asahi India Glass Limited,INE439A01020,EQ,NSE
ASAHISONG,Asahi Songwon Colors Limited,INE228I01012,BE,NSE
ASAL,Automotive Stampings and Assemblies Limited,INE900C01027,EQ,NSE
ASALCBR,Associated Alcohols & Breweries Ltd.,INE073G01016,EQ,NSE
ASHAPURMIN,Ashapura Minechem Limited,INE348A01023,EQ,NSE
ASHIANA,Ashiana Housing Limited,INE365D01021,EQ,NSE
ASHIMASYN,Ashima Limited,INE440A01010,BE,NSE
ASHOKA,Ashoka Buildcon Limited,INE442H01029,EQ,NSE
ASHOKAMET,Ashoka Metcast Limited,INE760Y01011,EQ,NSE
ASHOKLEY,Ashok Leyland Limited,INE208A01029,EQ,NSE
ASIANENE,Asian Energy Services Limited,INE276G01015,EQ,NSE
ASIANHOTNR,Asian Hotels (North) Limited,INE363A01022,BE,NSE
ASIANPAINT,Asian Paints Limited,INE021A01026,EQ,NSE
ASIANTILES,Asian Granito India Limited,INE022I01019,BE,NSE
ASKAUTOLTD,ASK Automotive Limited,INE491J01022,EQ,NSE
ASMS,Bartronics India Limited,INE855F01042,EQ,NSE
ASPINWALL,Aspinwall and Company Limited,INE991I01015,EQ,NSE
ASTEC,Astec LifeSciences Limited,INE563J01010,EQ,NSE
ASTEC-RE,Astec LifeSciences Ltd-RE,INE563J20010,BE,NSE
ASTERDM,Aster DM Healthcare Limited,INE914M01019,EQ,NSE
ASTRAL,Astral Limited,INE006I01046,EQ,NSE
ASTRAMICRO,Astra Microwave Products Limited,INE386C01029,EQ,NSE
ASTRAZEN,AstraZeneca Pharma India Limited,INE203A01020,EQ,NSE
ASTRON,Astron Paper & Board Mill Limited,INE646X01014,EQ,NSE
ATALREAL,Atal Realtech Limited,INE0ALR01029,BE,NSE
ATAM,Atam Valves Limited,INE09KD01013,EQ,NSE
ATGL,Adani Total Gas Limited,INE399L01023,EQ,NSE
ATHERENERG,Ather Energy Limited,INE0LEZ01016,EQ,NSE
ATL,Allcargo Terminals Limited,INE0NN701020,EQ,NSE
ATLANTAA,ATLANTAA LIMITED,INE285H01022,EQ,NSE
ATLASCYCLE,Atlas Cycles (Haryana) Limited,INE446A01025,BE,NSE
ATUL,Atul Limited,INE100A01010,EQ,NSE
ATULAUTO,Atul Auto Limited,INE951D01028,EQ,NSE
AUBANK,AU Small Finance Bank Limited,INE949L01017,EQ,NSE
AURIONPRO,Aurionpro Solutions Limited,INE132H01018,EQ,NSE
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,EQ,NSE
AURUM,Aurum PropTech Limited,INE898S01029,EQ,NSE
AUSOMENT,Ausom Enterprise Limited,INE218C01016,BE,NSE
AUTOAXLES,Automotive Axles Limited,INE449A01011,EQ,NSE
AUTOIND,Autoline Industries Limited,INE718H01014,EQ,NSE
AVADHSUGAR,Avadh Sugar & Energy Limited,INE349W01017,EQ,NSE
AVALON,Avalon Technologies Limited,INE0LCL01028,EQ,NSE
AVANTEL,Avantel Limited,INE005B01027,EQ,NSE
AVANTIFEED,Avanti Feeds Limited,INE871C01038,EQ,NSE
AVG,AVG Logistics Limited,INE680Z01018,EQ,NSE
AVL,Aditya Vision Limited,INE679V01027,EQ,NSE
AVONMORE,Avonmore Capital & Management Services Limited,INE323B01024,EQ,NSE
AVROIND,AVRO INDIA LIMITED,INE652Z01017,EQ,NSE
AVTNPL,AVT Natural Products Limited,INE488D01021,EQ,NSE
AWFIS,Awfis Space Solutions Limited,INE108V01019,EQ,NSE
AWHCL,Antony Waste Handling Cell Limited,INE01BK01022,EQ,NSE
AWL,AWL Agri Business Limited,INE699H01024,EQ,NSE
AXISBANK,Axis Bank Limited,INE238A01034,EQ,NSE
AXISCADES,AXISCADES Technologies Limited,INE555B01013,BE,NSE
AXITA,Axita Cotton Limited,INE02EZ01022,EQ,NSE
AYMSYNTEX,AYM Syntex Limited,INE193B01039,EQ,NSE
AZAD,Azad Engineering Limited,INE02IJ01035,EQ,NSE
BAFNAPH,Bafna Pharmaceuticals Limited,INE878I01022,EQ,NSE
BAGFILMS,B.A.G Films and Media Limited,INE116D01028,EQ,NSE
BAIDFIN,Baid Finserv Limited,INE020D01022,EQ,NSE
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,EQ,NSE
BAJAJCON,Bajaj Consumer Care Limited,INE933K01021,EQ,NSE
BAJAJELEC,Bajaj Electricals Limited,INE193E01025,EQ,NSE
BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,EQ,NSE
BAJAJHCARE,Bajaj Healthcare Limited,INE411U01027,EQ,NSE
BAJAJHFL,Bajaj Housing Finance Limited,INE377Y01014,EQ,NSE
BAJAJHIND,Bajaj Hindusthan Sugar Limited,INE306A01021,EQ,NSE
BAJAJHLDNG,Bajaj Holdings & Investment Limited,INE118A01012,EQ,NSE
BAJAJINDEF,Indef Manufacturing Limited,INE0O9T01021,EQ,NSE
BAJEL,Bajel Projects Limited,INE0KQN01018,BE,NSE
BAJFINANCE,Bajaj Finance Limited,INE296A01032,EQ,NSE
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,INE0S2G01011,EQ,NSE
BALAJITELE,Balaji Telefilms Limited,INE794B01026,BE,NSE
BALAMINES,Balaji Amines Limited,INE050E01027,EQ,NSE
BALAXI,BALAXI PHARMACEUTICALS LIMITED,INE618N01022,EQ,NSE
BALKRISHNA,Balkrishna Paper Mills Limited,INE875R01011,EQ,NSE
BALKRISIND,Balkrishna Industries Limited,INE787D01026,EQ,NSE
BALMLAWRIE,Balmer Lawrie & Company Limited,INE164A01016,EQ,NSE
BALPHARMA,Bal Pharma Limited,INE083D01012,EQ,NSE
BALRAMCHIN,Balrampur Chini Mills Limited,INE119A01028,EQ,NSE
BALUFORGE,Balu Forge Industries Limited,INE011E01029,BE,NSE
BANARBEADS,Banaras Beads Limited,INE655B01011,EQ,NSE
BANARISUG,Bannari Amman Sugars Limited,INE459A01010,EQ,NSE
BANCOINDIA,Banco Products (I) Limited,INE213C01025,EQ,NSE
BANDHANBNK,Bandhan Bank Limited,INE545U01014,EQ,NSE
BANG,Bang Overseas Limited,INE863I01016,EQ,NSE
BANKA,Banka BioLoo Limited,INE862Y01015,EQ,NSE
BANKBARODA,Bank of Baroda,INE028A01039,EQ,NSE
BANKINDIA,Bank of India,INE084A01016,EQ,NSE
BANSALWIRE,Bansal Wire Industries Limited,INE0B9K01025,EQ,NSE
BANSWRAS,Banswara Syntex Limited,INE629D01020,EQ,NSE
BARBEQUE,Barbeque Nation Hospitality Limited,INE382M01027,EQ,NSE
BASF,BASF India Limited,INE373A01013,EQ,NSE
BASML,Bannari Amman Spinning Mills Limited,INE186H01022,EQ,NSE
BATAINDIA,Bata India Limited,INE176A01028,EQ,NSE
BAYERCROP,Bayer Cropscience Limited,INE462A01022,EQ,NSE
BBL,Bharat Bijlee Limited,INE464A01036,EQ,NSE
BBOX,Black Box Limited,INE676A01027,BE,NSE
BBTC,Bombay Burmah Trading Corporation Limited,INE050A01025,EQ,NSE
BBTCL,B&B Triplewall Containers Limited,INE01EE01011,EQ,NSE
BCG,Brightcom Group Limited,INE425B01027,BE,NSE
BCLIND,Bcl Industries Limited,INE412G01024,EQ,NSE
BCONCEPTS,Brand Concepts Limited,INE977Y01011,EQ,NSE
BDL,Bharat Dynamics Limited,INE171Z01026,EQ,NSE
BEARDSELL,Beardsell Limited,INE520H01022,EQ,NSE
BECTORFOOD,Mrs. Bectors Food Specialities Limited,INE495P01012,EQ,NSE
BEDMUTHA,Bedmutha Industries Limited,INE844K01012,EQ,NSE
BEL,Bharat Electronics Limited,INE263A01024,EQ,NSE
BELLACASA,Bella Casa Fashion & Retail Limited,INE344T01014,EQ,NSE
BELRISE,Belrise Industries Limited,INE894V01022,EQ,NSE
BEML,BEML Limited,INE258A01016,EQ,NSE
BEPL,Bhansali Engineering Polymers Limited,INE922A01025,EQ,NSE
BERGEPAINT,Berger Paints (I) Limited,INE463A01038,EQ,NSE
BESTAGRO,Best Agrolife Limited,INE052T01013,EQ,NSE
BFINVEST,BF Investment Limited,INE878K01010,EQ,NSE
BFUTILITIE,BF Utilities Limited,INE243D01012,EQ,NSE
BGRENERGY,BGR Energy Systems Limited,INE661I01014,BE,NSE
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,INE414D01027,EQ,NSE
BHAGERIA,Bhageria Industries Limited,INE354C01027,EQ,NSE
BHAGYANGR,Bhagyanagar India Limited,INE458B01036,EQ,NSE
BHANDARI,Bhandari Hosiery Exports Limited,INE474E01029,EQ,NSE
BHARATFORG,Bharat Forge Limited,INE465A01025,EQ,NSE
BHARATGEAR,Bharat Gears Limited,INE561C01019,EQ,NSE
BHARATRAS,Bharat Rasayan Limited,INE838B01013,EQ,NSE
BHARATSE,Bharat Seats Limited,INE415D01024,BE,NSE
BHARATWIRE,Bharat Wire Ropes Limited,INE316L01019,EQ,NSE
BHARTIARTL,Bharti Airtel Limited,INE397D01024,EQ,NSE
BHARTIHEXA,Bharti Hexacom Limited,INE343G01021,EQ,NSE
BHEL,Bharat Heavy Electricals Limited,INE257A01026,EQ,NSE
BIGBLOC,Bigbloc Construction Limited,INE412U01025,EQ,NSE
BIKAJI,Bikaji Foods International Limited,INE00E101023,EQ,NSE
BIL,Bhartiya International Limited,INE828A01016,EQ,NSE
BILVYAPAR,BIL VYAPAR LIMITED,INE071A01013,BE,NSE
BIOCON,Biocon Limited,INE376G01013,EQ,NSE
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,INE829A01014,BE,NSE
BIRLACABLE,Birla Cable Limited,INE800A01015,BE,NSE
BIRLACORPN,Birla Corporation Limited,INE340A01012,EQ,NSE
BIRLAMONEY,Aditya Birla Money Limited,INE865C01022,EQ,NSE
BIRLANU,BirlaNu Limited,INE557A01011,EQ,NSE
BLACKBUCK,Zinka Logistics Solutions Limited,INE0UIZ01018,EQ,NSE
BLAL,BEML Land Assets Limited,INE0N7W01012,EQ,NSE
BLBLIMITED,BLB Limited,INE791A01024,EQ,NSE
BLISSGVS,Bliss GVS Pharma Limited,INE416D01022,EQ,NSE
BLKASHYAP,B. L. Kashyap and Sons Limited,INE350H01032,EQ,NSE
BLS,BLS International Services Limited,INE153T01027,EQ,NSE
BLSE,BLS E-Services Limited,INE0NLT01010,BE,NSE
BLUECOAST,Blue Coast Hotels Limited,INE472B01011,BE,NSE
BLUEDART,Blue Dart Express Limited,INE233B01017,EQ,NSE
BLUEJET,Blue Jet Healthcare Limited,INE0KBH01020,EQ,NSE
BLUESTARCO,Blue Star Limited,INE472A01039,EQ,NSE
BLUSPRING,Bluspring Enterprises Limited,INE0U4101014,EQ,NSE
BODALCHEM,Bodal Chemicals Limited,INE338D01028,EQ,NSE
BOHRAIND,Bohra Industries Limited,INE802W01023,EQ,NSE
BOMDYEING,Bombay Dyeing & Mfg Company Limited,INE032A01023,EQ,NSE
BORANA,Borana Weaves Limited,INE16SF01016,EQ,NSE
BOROLTD,Borosil Limited,INE02PY01013,EQ,NSE
BORORENEW,BOROSIL RENEWABLES LIMITED,INE666D01022,EQ,NSE
BOROSCI,Borosil Scientific Limited,INE02L001032,EQ,NSE
BOSCHLTD,Bosch Limited,INE323A01026,EQ,NSE
BPCL,Bharat Petroleum Corporation Limited,INE029A01011,EQ,NSE
BPL,BPL Limited,INE110A01019,EQ,NSE
BRIGADE,Brigade Enterprises Limited,INE791I01019,EQ,NSE
BRITANNIA,Britannia Industries Limited,INE216A01030,EQ,NSE
BRNL,Bharat Road Network Limited,INE727S01012,BE,NSE
BROOKS,Brooks Laboratories Limited,INE650L01011,BE,NSE
BSE,BSE Limited,INE118H01025,EQ,NSE
BSHSL,Bombay Super Hybrid Seeds Limited,INE032Z01020,EQ,NSE
BSL,BSL Limited,INE594B01012,BE,NSE
BSOFT,BIRLASOFT LIMITED,INE836A01035,EQ,NSE
BTML,Bodhi Tree Multimedia Limited,INE0EEJ01023,EQ,NSE
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,INE295F01017,EQ,NSE
BVCL,Barak Valley Cements Limited,INE139I01011,EQ,NSE
BYKE,The Byke Hospitality Ltd,INE319B01014,BE,NSE
CALSOFT,California Software Company Limited,INE526B01014,BE,NSE
CAMLINFINE,Camlin Fine Sciences Limited,INE052I01032,BE,NSE
CAMPUS,Campus Activewear Limited,INE278Y01022,EQ,NSE
CAMS,Computer Age Management Services Limited,INE596I01012,EQ,NSE
CANBK,Canara Bank,INE476A01022,EQ,NSE
CANFINHOME,Can Fin Homes Limited,INE477A01020,EQ,NSE
CANTABIL,Cantabil Retail India Limited,INE068L01024,EQ,NSE
CAPACITE,Capacit'e Infraprojects Limited,INE264T01014,EQ,NSE
CAPITALSFB,Capital Small Finance Bank Limited,INE646H01017,EQ,NSE
CAPLIPOINT,Caplin Point Laboratories Limited,INE475E01026,EQ,NSE
CAPTRU-RE,Capital Trust Limited-RE,INE707C20018,BE,NSE
CAPTRUST,Capital Trust Limited,INE707C01018,BE,NSE
CARBORUNIV,Carborundum Universal Limited,INE120A01034,EQ,NSE
CARERATING,CARE Ratings Limited,INE752H01013,EQ,NSE
CARRARO,Carraro India Limited,INE0V7W01012,EQ,NSE
CARTRADE,Cartrade Tech Limited,INE290S01011,EQ,NSE
CARYSIL,CARYSIL LIMITED,INE482D01024,EQ,NSE
CASTROLIND,Castrol India Limited,INE172A01027,EQ,NSE
CCCL,Consolidated Construction Consortium Limited,INE429I01024,EQ,NSE
CCHHL,Country Club Hospitality & Holidays Limited,INE652F01027,EQ,NSE
CCL,CCL Products (India) Limited,INE421D01022,EQ,NSE
CDSL,Central Depository Services (India) Limited,INE736A01011,EQ,NSE
CEATLTD,CEAT Limited,INE482A01020,EQ,NSE
CEIGALL,Ceigall India Limited,INE0AG901020,EQ,NSE
CELEBRITY,Celebrity Fashions Limited,INE185H01016,EQ,NSE
CELLO,Cello World Limited,INE0LMW01024,EQ,NSE
CENTENKA,Century Enka Limited,INE485A01015,EQ,NSE
CENTEXT,Century Extrusions Limited,INE281A01026,EQ,NSE
CENTRALBK,Central Bank of India,INE483A01010,EQ,NSE
CENTRUM,Centrum Capital Limited,INE660C01027,BE,NSE
CENTUM,Centum Electronics Limited,INE320B01020,EQ,NSE
CENTURYPLY,Century Plyboards (India) Limited,INE348B01021,EQ,NSE
CERA,Cera Sanitaryware Limited,INE739E01017,EQ,NSE
CEREBRAINT,Cerebra Integrated Technologies Limited,INE345B01019,BZ,NSE
CESC,CESC Limited,INE486A01021,EQ,NSE
CEWATER,Concord Enviro Systems Limited,INE037Z01029,EQ,NSE
CGCL,Capri Global Capital Limited,INE180C01042,EQ,NSE
CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029,EQ,NSE
CHALET,Chalet Hotels Limited,INE427F01016,EQ,NSE
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,INE085A01013,EQ,NSE
CHEMBOND,Chembond Material Technologies Limited,INE995D01025,BE,NSE
CHEMCON,Chemcon Speciality Chemicals Limited,INE03YM01018,EQ,NSE
CHEMFAB,Chemfab Alkalis Limited,INE783X01023,EQ,NSE
CHEMPLASTS,Chemplast Sanmar Limited,INE488A01050,EQ,NSE
CHENNPETRO,Chennai Petroleum Corporation Limited,INE178A01016,EQ,NSE
CHEVIOT,Cheviot Company Limited,INE974B01016,EQ,NSE
CHOICEIN,Choice International Limited,INE102B01014,EQ,NSE
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,INE121A01024,EQ,NSE
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,INE149A01033,EQ,NSE
CIEINDIA,CIE Automotive India Limited,INE536H01010,EQ,NSE
CIFL,Capital India Finance Limited,INE345H01024,EQ,NSE
CIGNITITEC,Cigniti Technologies Limited,INE675C01017,EQ,NSE
CINELINE,Cineline India Limited,INE704H01022,EQ,NSE
CINEVISTA,Cinevista Limited,INE039B01026,BE,NSE
CIPLA,Cipla Limited,INE059A01026,EQ,NSE
CLEAN,Clean Science and Technology Limited,INE227W01023,EQ,NSE
CLEDUCATE,CL Educate Limited,INE201M01029,EQ,NSE
CLSEL,Chaman Lal Setia Exports Limited,INE419D01026,EQ,NSE
CMSINFO,CMS Info Systems Limited,INE925R01014,EQ,NSE
COALINDIA,Coal India Limited,INE522F01014,EQ,NSE
COASTCORP,Coastal Corporation Limited,INE377E01024,EQ,NSE
COCHINSHIP,Cochin Shipyard Limited,INE704P01025,EQ,NSE
COFFEEDAY,Coffee Day Enterprises Limited,INE335K01011,EQ,NSE
COFORGE,Coforge Limited,INE591G01025,EQ,NSE
